publication_id,affiliation_id
http://arxiv.org/abs/1905.13035v1,60
http://arxiv.org/abs/1905.12267v1,61
http://arxiv.org/abs/1905.12267v1,62
http://arxiv.org/abs/1905.12267v1,61
http://arxiv.org/abs/1905.12267v1,62
http://arxiv.org/abs/1905.12267v1,63
http://arxiv.org/abs/1904.13088v2,64
http://arxiv.org/abs/1904.13088v2,64
http://arxiv.org/abs/1904.13088v2,64
http://arxiv.org/abs/1904.13088v2,64
http://arxiv.org/abs/1905.11481v1,49
http://arxiv.org/abs/1905.11481v1,49
http://arxiv.org/abs/1905.11371v1,65
http://arxiv.org/abs/1902.03046v2,66
http://arxiv.org/abs/1902.03046v2,66
http://arxiv.org/abs/1902.03046v2,66
http://arxiv.org/abs/1902.03046v2,66
http://arxiv.org/abs/1905.11123v1,67
http://arxiv.org/abs/1905.11123v1,68
http://arxiv.org/abs/1905.11123v1,69
http://arxiv.org/abs/1905.11123v1,70
http://arxiv.org/abs/1905.11123v1,71
http://arxiv.org/abs/1905.11123v1,72
http://arxiv.org/abs/1905.11123v1,73
http://arxiv.org/abs/1905.11836v1,74
http://arxiv.org/abs/1905.11836v1,75
http://arxiv.org/abs/1904.12380v2,76
http://arxiv.org/abs/1904.12380v2,76
http://arxiv.org/abs/1904.12380v2,76
http://arxiv.org/abs/1904.12380v2,77
http://arxiv.org/abs/1901.07506v4,78
http://arxiv.org/abs/1906.01727v1,79
http://arxiv.org/abs/1906.01727v1,80
http://arxiv.org/abs/1906.01727v1,81
http://arxiv.org/abs/1906.01727v1,82
http://arxiv.org/abs/1906.01727v1,82
http://arxiv.org/abs/1906.01727v1,83
http://arxiv.org/abs/1906.01830v1,84
http://arxiv.org/abs/1906.01830v1,85
http://arxiv.org/abs/1906.01830v1,85
http://arxiv.org/abs/1906.01830v1,86
http://arxiv.org/abs/1906.01830v1,87
http://arxiv.org/abs/1810.11203v3,88
http://arxiv.org/abs/1810.11203v3,89
http://arxiv.org/abs/1810.11203v3,88
